ID,Item_Name,Brand,Model,Category,Year_of_Purchase,Condition,Quantity,Weight_kg,Recycle_Method,Location,Recycling_Facility,Collection_Date,End_Use,Recycled_Price_USD,Toxic_Components,E-Waste_Collector,Carbon_Footprint,Exported_To
8636,Washing Machine,Panasonic,Panasonic Model 472,Appliance,2018,Broken,2,69.65,Manual,London,Facility B,2024/7/24,E-Waste Disposal,163.41,Lead,Green Electronics,2.9,China
2686,Air Conditioner,Xiaomi,Xiaomi Model 921,Appliance,2013,Partially Working,1,29.6,Automated,London,Facility A,2024/5/28,Raw Materials,140.15,Mercury,EcoWaste Solutions,16.21,Germany
1491,Headphone,LG,LG Model 829,Electronics,2014,Partially Working,3,0.63,Both,Shanghai,Facility C,2024/4/20,Parts for Electronics,47.65,Cadmium,EcoWaste Solutions,1.05,China
2032,Headphone,Sony,Sony Model 723,Electronics,2013,Broken,5,0.77,Manual,Dhaka,Facility C,2024/1/27,Parts for Electronics,26.41,Lead,Green Electronics,18.62,Germany
5617,Refrigerator,Dell,Dell Model 751,Appliance,2015,Working,2,79.93,Manual,Shanghai,Facility D,2024/1/4,Parts for Electronics,114.5,Mercury,EcoWaste Solutions,9.36,USA
6766,Microwave,Dell,Dell Model 427,Appliance,2015,Broken,4,11.66,Manual,Dhaka,Facility B,2024/7/19,Parts for Electronics,104.23,Mercury,E-Waste Inc.,2.94,USA
5630,Washing Machine,Apple,Apple Model 661,Appliance,2014,Broken,1,69.69,Manual,Shanghai,Facility A,2024/6/13,E-Waste Disposal,64.18,Lead,Green Electronics,15.57,Brazil
2587,Smartphone,LG,LG Model 192,Mobile,2022,Partially Working,5,0.12,Both,London,Facility D,2024/2/17,Raw Materials,108.82,Mercury,E-Waste Inc.,11.2,USA
2968,Smartphone,Panasonic,Panasonic Model 813,Mobile,2019,Working,5,0.1,Manual,Dhaka,Facility C,2024/7/11,Parts for Electronics,114.13,Cadmium,Green Electronics,17.47,USA
8150,Headphone,Sony,Sony Model 950,Electronics,2015,Working,3,0.96,Both,New York,Facility A,2023/11/23,E-Waste Disposal,141.21,Cadmium,EcoWaste Solutions,9.43,Brazil
2601,Washing Machine,Dell,Dell Model 396,Appliance,2021,Working,2,70.5,Both,London,Facility A,2023/12/14,Parts for Electronics,85.86,Mercury,EcoWaste Solutions,4,India
9906,Microwave,Panasonic,Panasonic Model 455,Appliance,2010,Broken,4,12.41,Automated,Dhaka,Facility B,2023/12/19,Raw Materials,46.25,Lead,E-Waste Inc.,15.59,China
9376,Refrigerator,Samsung,Samsung Model 933,Appliance,2014,Partially Working,4,79.51,Manual,New York,Facility D,2024/4/16,Parts for Electronics,120.82,None,E-Waste Inc.,3.77,USA
4107,Smartphone,Samsung,Samsung Model 407,Mobile,2011,Broken,3,0.1,Manual,Shanghai,Facility D,2023/12/11,E-Waste Disposal,157.86,None,E-Waste Inc.,15.87,India
9348,Smartphone,Panasonic,Panasonic Model 501,Mobile,2023,Broken,4,0.35,Both,Mumbai,Facility A,2024/3/26,Raw Materials,125.46,Cadmium,E-Waste Inc.,2.91,China
8388,Air Conditioner,Apple,Apple Model 539,Appliance,2015,Working,4,30.02,Both,London,Facility D,2024/6/16,Raw Materials,142.22,Cadmium,Green Electronics,1.68,USA
9123,Refrigerator,Panasonic,Panasonic Model 516,Appliance,2016,Working,3,79.84,Both,New York,Facility B,2024/9/14,Parts for Electronics,163.76,Cadmium,EcoWaste Solutions,8.44,Brazil
8598,Smartphone,Xiaomi,Xiaomi Model 537,Mobile,2015,Working,1,0.13,Manual,Mumbai,Facility A,2024/1/31,E-Waste Disposal,134.49,None,EcoWaste Solutions,9.02,Brazil
9318,Microwave,Sony,Sony Model 128,Appliance,2017,Partially Working,1,12.22,Manual,Mumbai,Facility C,2024/6/6,Raw Materials,106.69,Mercury,EcoWaste Solutions,19.52,Brazil
4180,Laptop,Apple,Apple Model 309,Computers,2012,Partially Working,4,2.03,Manual,Dhaka,Facility D,2024/10/29,Parts for Electronics,122.8,None,EcoWaste Solutions,18.21,Brazil
2441,Laptop,Samsung,Samsung Model 847,Computers,2015,Partially Working,2,2.28,Automated,Mumbai,Facility D,2024/11/8,E-Waste Disposal,76.26,Mercury,Green Electronics,15.93,China
2626,Laptop,Xiaomi,Xiaomi Model 285,Computers,2017,Working,3,2.24,Automated,Berlin,Facility C,2023/12/12,Parts for Electronics,27.27,Cadmium,Green Electronics,7.99,Brazil
4401,Smartphone,LG,LG Model 385,Mobile,2023,Working,2,0.1,Manual,Mumbai,Facility A,2024/4/24,Raw Materials,61.46,Mercury,E-Waste Inc.,15.11,USA
